io_ratio,profile,taxonomy,service_id,rank,topsis_score
0.1,cost_first,tool.productivity.spreadsheet,google/sheets-api@v4,1,1.0
0.1,cost_first,tool.productivity.spreadsheet,airtable/api@v1,2,0.0
0.1,cost_first,ai.llm.chat,openai/gpt-4o@2024-11-20,1,0.9612
0.1,cost_first,ai.llm.chat,google/gemini-2.5-pro@2.5,2,0.7311
0.1,cost_first,ai.llm.chat,anthropic/claude-sonnet-4@4.0,3,0.222
0.1,cost_first,ai.vision.image_generation,black-forest-labs/flux-1.1-pro@1.1,1,0.9953
0.1,cost_first,ai.vision.image_generation,google/imagen-3@3.0,2,0.2891
0.1,cost_first,ai.vision.image_generation,openai/dall-e-3@3.0,3,0.0047
0.1,cost_first,tool.automation.browser,steel/browser@v1,1,0.9991
0.1,cost_first,tool.automation.browser,browserbase/api@v1,2,0.0009
0.1,cost_first,tool.devops.ci,circleci/cloud@v2,1,0.6864
0.1,cost_first,tool.devops.ci,github/actions@v2,2,0.3136
0.1,cost_first,ai.code.completion,github/copilot@v1,1,1.0
0.1,cost_first,ai.code.completion,cursor/editor@v1,2,0.0
0.1,cost_first,ai.audio.stt,deepgram/nova@v2,1,1.0
0.1,cost_first,ai.audio.stt,openai/whisper@v1,2,0.0
0.1,cost_first,ai.nlp.translation,google/translate@v3,1,1.0
0.1,cost_first,ai.nlp.translation,deepl/translate@v2,2,0.0
0.1,cost_first,tool.communication.chat,discord/api@v10,1,0.9955
0.1,cost_first,tool.communication.chat,slack/web-api@v2,2,0.0045
0.1,cost_first,ai.audio.tts,openai/tts-1@1.0,1,0.9414
0.1,cost_first,ai.audio.tts,elevenlabs/tts-v2@2.0,2,0.0586
0.1,cost_first,tool.data.search,tavily/search-api@v1,1,0.9436
0.1,cost_first,tool.data.search,exa/search-api@v1,2,0.0564
0.1,cost_first,tool.data.scraping,jina/reader@v1,1,0.9999
0.1,cost_first,tool.data.scraping,firecrawl/scrape@v1,2,0.0001
0.1,cost_first,tool.devops.deployment,vercel/platform@v1,1,1.0
0.1,cost_first,tool.devops.deployment,fly/machines@v1,2,0.0
0.1,cost_first,tool.productivity.todo,todoist/api@v2,1,0.8996
0.1,cost_first,tool.productivity.todo,ticktick/api@v2,2,0.6554
0.1,cost_first,tool.productivity.todo,google/tasks-api@v1,3,0.0028
0.1,cost_first,ai.video.generation,kuaishou/kling-3.0@3.0,1,0.9585
0.1,cost_first,ai.video.generation,google/veo-3.1@3.1,2,0.0415
0.1,cost_first,infra.database.postgres,neon/serverless-postgres@v1,1,1.0
0.1,cost_first,infra.database.postgres,supabase/database@v2,2,0.0
0.1,cost_first,ai.llm.embedding,openai/text-embedding-3-large@3.0,1,0.9671
0.1,cost_first,ai.llm.embedding,voyageai/voyage-3-large@3.0,2,0.0329
0.1,cost_first,infra.database.vector,qdrant/cloud@v1,1,0.9984
0.1,cost_first,infra.database.vector,pinecone/index@v3,2,0.0016
0.1,cost_first,infra.compute.gpu,runpod/gpu-serverless@1.0,1,1.0
0.1,cost_first,infra.compute.gpu,replicate/gpu-serverless@1.0,2,0.0
0.1,cost_first,tool.communication.email,resend/email-api@v1,1,1.0
0.1,cost_first,tool.communication.email,twilio/sendgrid@v3,2,0.0
0.1,quality_first,tool.productivity.spreadsheet,google/sheets-api@v4,1,1.0
0.1,quality_first,tool.productivity.spreadsheet,airtable/api@v1,2,0.0
0.1,quality_first,ai.llm.chat,openai/gpt-4o@2024-11-20,1,0.9136
0.1,quality_first,ai.llm.chat,anthropic/claude-sonnet-4@4.0,2,0.6969
0.1,quality_first,ai.llm.chat,google/gemini-2.5-pro@2.5,3,0.2097
0.1,quality_first,ai.vision.image_generation,black-forest-labs/flux-1.1-pro@1.1,1,0.9968
0.1,quality_first,ai.vision.image_generation,google/imagen-3@3.0,2,0.2797
0.1,quality_first,ai.vision.image_generation,openai/dall-e-3@3.0,3,0.0032
0.1,quality_first,tool.automation.browser,steel/browser@v1,1,0.9949
0.1,quality_first,tool.automation.browser,browserbase/api@v1,2,0.0051
0.1,quality_first,tool.devops.ci,github/actions@v2,1,0.8259
0.1,quality_first,tool.devops.ci,circleci/cloud@v2,2,0.1741
0.1,quality_first,ai.code.completion,github/copilot@v1,1,1.0
0.1,quality_first,ai.code.completion,cursor/editor@v1,2,0.0
0.1,quality_first,ai.audio.stt,deepgram/nova@v2,1,1.0
0.1,quality_first,ai.audio.stt,openai/whisper@v1,2,0.0
0.1,quality_first,ai.nlp.translation,google/translate@v3,1,1.0
0.1,quality_first,ai.nlp.translation,deepl/translate@v2,2,0.0
0.1,quality_first,tool.communication.chat,discord/api@v10,1,0.9966
0.1,quality_first,tool.communication.chat,slack/web-api@v2,2,0.0034
0.1,quality_first,ai.audio.tts,openai/tts-1@1.0,1,0.5757
0.1,quality_first,ai.audio.tts,elevenlabs/tts-v2@2.0,2,0.4243
0.1,quality_first,tool.data.search,tavily/search-api@v1,1,0.6015
0.1,quality_first,tool.data.search,exa/search-api@v1,2,0.3985
0.1,quality_first,tool.data.scraping,jina/reader@v1,1,0.9991
0.1,quality_first,tool.data.scraping,firecrawl/scrape@v1,2,0.0009
0.1,quality_first,tool.devops.deployment,vercel/platform@v1,1,1.0
0.1,quality_first,tool.devops.deployment,fly/machines@v1,2,0.0
0.1,quality_first,tool.productivity.todo,todoist/api@v2,1,0.8911
0.1,quality_first,tool.productivity.todo,ticktick/api@v2,2,0.6608
0.1,quality_first,tool.productivity.todo,google/tasks-api@v1,3,0.0021
0.1,quality_first,ai.video.generation,kuaishou/kling-3.0@3.0,1,0.6769
0.1,quality_first,ai.video.generation,google/veo-3.1@3.1,2,0.3231
0.1,quality_first,infra.database.postgres,neon/serverless-postgres@v1,1,1.0
0.1,quality_first,infra.database.postgres,supabase/database@v2,2,0.0
0.1,quality_first,ai.llm.embedding,openai/text-embedding-3-large@3.0,1,0.8629
0.1,quality_first,ai.llm.embedding,voyageai/voyage-3-large@3.0,2,0.1371
0.1,quality_first,infra.database.vector,qdrant/cloud@v1,1,0.9988
0.1,quality_first,infra.database.vector,pinecone/index@v3,2,0.0012
0.1,quality_first,infra.compute.gpu,runpod/gpu-serverless@1.0,1,1.0
0.1,quality_first,infra.compute.gpu,replicate/gpu-serverless@1.0,2,0.0
0.1,quality_first,tool.communication.email,resend/email-api@v1,1,1.0
0.1,quality_first,tool.communication.email,twilio/sendgrid@v3,2,0.0
0.1,speed_first,tool.productivity.spreadsheet,google/sheets-api@v4,1,1.0
0.1,speed_first,tool.productivity.spreadsheet,airtable/api@v1,2,0.0
0.1,speed_first,ai.llm.chat,openai/gpt-4o@2024-11-20,1,0.987
0.1,speed_first,ai.llm.chat,anthropic/claude-sonnet-4@4.0,2,0.7495
0.1,speed_first,ai.llm.chat,google/gemini-2.5-pro@2.5,3,0.1192
0.1,speed_first,ai.vision.image_generation,black-forest-labs/flux-1.1-pro@1.1,1,0.9982
0.1,speed_first,ai.vision.image_generation,google/imagen-3@3.0,2,0.4797
0.1,speed_first,ai.vision.image_generation,openai/dall-e-3@3.0,3,0.0018
0.1,speed_first,tool.automation.browser,steel/browser@v1,1,0.9984
0.1,speed_first,tool.automation.browser,browserbase/api@v1,2,0.0016
0.1,speed_first,tool.devops.ci,circleci/cloud@v2,1,0.5259
0.1,speed_first,tool.devops.ci,github/actions@v2,2,0.4741
0.1,speed_first,ai.code.completion,github/copilot@v1,1,1.0
0.1,speed_first,ai.code.completion,cursor/editor@v1,2,0.0
0.1,speed_first,ai.audio.stt,deepgram/nova@v2,1,1.0
