task_id,taxonomy,profile,selector,selected_service_id,selected_display_name,valid_service_id,constraint_violation,parse_failure,utility,best_utility,regret,cost_per_unit,latency_seconds,quality_score,prompt_chars,completion_chars,reason
1,tool.data.search,cost_first,asm_topsis,tavily/search-api@v1,Tavily Search,True,False,False,0.9436,0.9436,0.0,0.001,0.8,0.92,0,0,deterministic TOPSIS
1,tool.data.search,cost_first,cheapest_first,tavily/search-api@v1,Tavily Search,True,False,False,0.9436,0.9436,0.0,0.001,0.8,0.92,0,0,cheapest_first
1,tool.data.search,cost_first,fastest_first,exa/search-api@v1,Exa Search,True,False,False,0.0564,0.9436,0.8872,0.003,0.6,0.95,0,0,fastest_first
1,tool.data.search,cost_first,highest_quality_first,exa/search-api@v1,Exa Search,True,False,False,0.0564,0.9436,0.8872,0.003,0.6,0.95,0,0,highest_quality_first
1,tool.data.search,cost_first,weighted_average,tavily/search-api@v1,Tavily Search,True,False,False,0.9436,0.9436,0.0,0.001,0.8,0.92,0,0,weighted_average
1,tool.data.search,cost_first,most_expensive_first,exa/search-api@v1,Exa Search,True,False,False,0.0564,0.9436,0.8872,0.003,0.6,0.95,0,0,most_expensive_first
2,tool.productivity.spreadsheet,quality_first,asm_topsis,google/sheets-api@v4,Google Sheets,True,False,False,1.0,1.0,0.0,0,0.1,0.5,0,0,deterministic TOPSIS
2,tool.productivity.spreadsheet,quality_first,cheapest_first,airtable/api@v1,Airtable,True,False,False,0.0,1.0,1.0,0,0.12,0.5,0,0,cheapest_first
2,tool.productivity.spreadsheet,quality_first,fastest_first,google/sheets-api@v4,Google Sheets,True,False,False,1.0,1.0,0.0,0,0.1,0.5,0,0,fastest_first
2,tool.productivity.spreadsheet,quality_first,highest_quality_first,airtable/api@v1,Airtable,True,False,False,0.0,1.0,1.0,0,0.12,0.5,0,0,highest_quality_first
2,tool.productivity.spreadsheet,quality_first,weighted_average,google/sheets-api@v4,Google Sheets,True,False,False,1.0,1.0,0.0,0,0.1,0.5,0,0,weighted_average
2,tool.productivity.spreadsheet,quality_first,most_expensive_first,airtable/api@v1,Airtable,True,False,False,0.0,1.0,1.0,0,0.12,0.5,0,0,most_expensive_first
3,ai.video.generation,speed_first,asm_topsis,kuaishou/kling-3.0@3.0,Kling 3.0,True,False,False,0.5357,0.5357,0.0,0.029,60.0,0.835,0,0,deterministic TOPSIS
3,ai.video.generation,speed_first,cheapest_first,kuaishou/kling-3.0@3.0,Kling 3.0,True,False,False,0.5357,0.5357,0.0,0.029,60.0,0.835,0,0,cheapest_first
3,ai.video.generation,speed_first,fastest_first,google/veo-3.1@3.1,Veo 3.1,True,False,False,0.4643,0.5357,0.0714,0.2,45.0,0.847,0,0,fastest_first
3,ai.video.generation,speed_first,highest_quality_first,google/veo-3.1@3.1,Veo 3.1,True,False,False,0.4643,0.5357,0.0714,0.2,45.0,0.847,0,0,highest_quality_first
3,ai.video.generation,speed_first,weighted_average,google/veo-3.1@3.1,Veo 3.1,True,False,False,0.4643,0.5357,0.0714,0.2,45.0,0.847,0,0,weighted_average
3,ai.video.generation,speed_first,most_expensive_first,google/veo-3.1@3.1,Veo 3.1,True,False,False,0.4643,0.5357,0.0714,0.2,45.0,0.847,0,0,most_expensive_first
4,infra.compute.gpu,cost_first,asm_topsis,runpod/gpu-serverless@1.0,RunPod Serverless GPU,True,False,False,1.0,1.0,0.0,0.00019,3.0,0.5,0,0,deterministic TOPSIS
4,infra.compute.gpu,cost_first,cheapest_first,runpod/gpu-serverless@1.0,RunPod Serverless GPU,True,False,False,1.0,1.0,0.0,0.00019,3.0,0.5,0,0,cheapest_first
4,infra.compute.gpu,cost_first,fastest_first,runpod/gpu-serverless@1.0,RunPod Serverless GPU,True,False,False,1.0,1.0,0.0,0.00019,3.0,0.5,0,0,fastest_first
