repo,url,stars,default_branch,query_source,search_rank,pricing,sla,quality,payment,structured_asm,inspected_chars,evidence
n8n-io/n8n,https://github.com/n8n-io/n8n,185921,master,topic:mcp-server,1,False,False,True,False,False,11704,"quality: ..., ""axios"": ""1.15.0"", ""chokidar"": ""4.0.3"", ""esbuild"": ""^0.25.0"", ""expr-eval@2.0.2"": ""npm:expr-eval-fork@3.0.0"", ""multer"": ""^2.1.1"", ""prebuild-install"": ""7.1.3"", ""pug..."
google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli,102608,main,topic:mcp-server,2,True,False,False,True,False,20607,"pricing: ...cumentation](https://geminicli.com/docs/). ## 🚀 Why Gemini CLI? - **🎯 Free tier**: 60 requests/min and 1,000 requests/day with personal Google account. - **🧠 Powerful Ge... | payment: ...anced security and compliance - **Scalable**: Higher rate limits with billing account - **Integration**: Works with existing Google Cloud infrastructure ```bash # Get your key..."
sansan0/TrendRadar,https://github.com/sansan0/TrendRadar,55677,master,topic:mcp-server,3,False,False,False,False,False,93090,
upstash/context7,https://github.com/upstash/context7,53954,master,topic:mcp-server,4,False,False,True,False,False,11151,"quality: ...ojects are community-contributed and while we strive to maintain high quality, we cannot guarantee the accuracy, completeness, or security of all library documentation..."
D4Vinci/Scrapling,https://github.com/D4Vinci/Scrapling,39145,main,topic:mcp-server,5,True,False,True,False,False,34736,"pricing: ... overpriced. Fast residential and ISP proxies in 195+ locations, fair pricing, and real support. <br /> <b>Try our FlappyBird game on the landing page for free data!</... | quality: ...ampaign=d4vinci-scrapling"" target=""_blank"" title=""Evomi is your Swiss Quality Proxy Provider, starting at $0.49/GB""> <img src=""https://raw.githubusercontent.com/D4Vinc..."
ChromeDevTools/chrome-devtools-mcp,https://github.com/ChromeDevTools/chrome-devtools-mcp,37473,main,topic:mcp-server,6,True,True,True,False,False,35827,"pricing: ...for Chrome. Default is $HOME/.cache/chrome-devtools-mcp/chrome-profile$CHANNEL_SUFFIX_IF_NON_STABLE - **Type:** string - **`--channel`** Specify a different Chro... | sla: ...gle collects usage statistics (such as tool invocation success rates, latency, and environment information) to improve the reliability and performance of Chrome DevToo... | quality: ...cs.ts"", ""verify-npm-package"": ""node scripts/verify-npm-package.mjs"", ""eval"": ""npm run build && node --experimental-strip-types scripts/eval_gemini.ts"", ""count-token..."
ruvnet/ruflo,https://github.com/ruvnet/ruflo,33748,main,topic:mcp-server,7,False,False,True,False,False,11474,quality: ...ern matching | | Task Routing | You decide | Intelligent routing (89% accuracy) | | Background Workers | None | 12 auto-triggered workers | | LLM Providers | Anthropic ...
bytedance/UI-TARS-desktop,https://github.com/bytedance/UI-TARS-desktop,29547,main,topic:mcp-server,8,False,False,False,False,False,18009,
github/github-mcp-server,https://github.com/github/github-mcp-server,29311,main,topic:mcp-server,9,False,False,True,True,False,85660,"quality: ...C%22url%22%3A%20%22https%3A%2F%2Fapi.githubcopilot.com%2Fmcp%2F%22%7D&quality=insiders) The remote GitHub MCP Server is hosted by GitHub and provides the easiest metho... | payment: ...ptional) - **manage_notification_subscription** - Manage notification subscription - **Required OAuth Scopes**: `notifications` - `action`: Action to perform: ignore, watch..."
assafelovic/gpt-researcher,https://github.com/assafelovic/gpt-researcher,26754,main,topic:mcp-server,10,False,False,True,False,False,23085,quality: ...ts. Features: - Deep research capabilities for AI assistants - Higher quality information with optimized context usage - Comprehensive results with better reasoning fo...
oraios/serena,https://github.com/oraios/serena,23528,main,topic:mcp-server,11,True,False,True,False,False,24821,"pricing: ...toolkit – cross-file renames, moves, and reference lookups that would cost me 8–12 careful, error-prone steps collapse into one atomic call, and I would absolutely ... | quality: ...y are in the best position to evaluate Serena. We crafted an unbiased evaluation prompt that leads the agent to perform ~20 routine coding tasks, representative of everyd..."
activepieces/activepieces,https://github.com/activepieces/activepieces,21952,main,topic:mcp-server,12,True,False,False,True,False,102379,"pricing: ...d more about the feature comparison here https://www.activepieces.com/pricing <br> <br> # 💭 Join Our Community <a href=""https://discord.gg/2jUXBKDdP8"" target=""_blank"">... | payment: ...1.7"", ""string-replace-async"": ""3.0.2"", ""string-strip-html"": ""8.5.0"", ""stripe"": ""18.2.1"", ""tailwind-merge"": ""2.4.0"", ""tailwind-scrollbar"": ""4.0.2"", ""tiny-lru"": ""11.4.7..."
1Panel-dev/MaxKB,https://github.com/1Panel-dev/MaxKB,20845,v2,topic:mcp-server,13,False,False,False,False,False,7165,
czlonkowski/n8n-mcp,https://github.com/czlonkowski/n8n-mcp,18836,main,topic:mcp-server,14,True,False,True,False,False,26973,"pricing: ...efficiently. Maintaining and developing this project competes with my paid work. Your sponsorship helps me dedicate focused time to new features, respond quickly to... | quality: ...our role is to design, build, and validate n8n workflows with maximum accuracy and efficiency. ## Core Principles ### 1. Silent Execution CRITICAL: Execute tools withou..."
nukeop/nuclear,https://github.com/nukeop/nuclear,17378,master,topic:mcp-server,15,False,False,False,False,False,6230,
microsoft/mcp-for-beginners,https://github.com/microsoft/mcp-for-beginners,15965,main,topic:mcp-server,16,False,False,False,False,False,35352,
triggerdotdev/trigger.dev,https://github.com/triggerdotdev/trigger.dev,14693,main,topic:mcp-server,17,False,False,False,False,False,14867,
open-metadata/OpenMetadata,https://github.com/open-metadata/OpenMetadata,13701,main,topic:mcp-server,18,False,True,True,False,False,8057,"sla: ...w metrics such as data freshness, data volume, data quality, and data latency. You can also set up alerts and notifications for any anomalies or failures. **Data Secur... | quality: ...ts/40225091/7df29e12-8a29-44b7-9466-42474823783f) <br><br><br> **Data Quality and Profiler**: Measure and monitor the quality with **no-code** to build trust in your d..."
