source,source_url,entry_id,name,title,description,repository_url,category,pricing,sla_rate_limit,quality_benchmark,payment,provenance,security_trust,all_core_value_classes,structured_value_classes,machine_actionable_value_classes,evidence
official_mcp_registry,https://registry.modelcontextprotocol.io/v0/servers,ai.haymon/dbmcp,ai.haymon/dbmcp,,"Database MCP server for MySQL, MariaDB, PostgreSQL & SQLite",,,absent,absent,absent,absent,machine_actionable,absent,False,1,1,"provenance: ...ue"": ""stdio""}], ""registryType"": ""oci"", ""runtimeHint"": ""docker"", ""transport"": {""type"": ""stdio""}}, {""environmentVariables"": [{""default"": ""127.0..."
mcp_atlas,https://mcpatlas.dev/browse,mcp_atlas:384b4954f6a6,neondatabase/mcp-server-neon,neondatabase/mcp-server-neon,""":[""list_products"",""create_product"",""update_product"",""list_orders"",""get_order"",""update_inventory""],""resources"":[]},""compatibility"":[""claude-desktop"",""claude-code"",""cursor"",""windsurf""],""pricing"":""open-source"",""pricingNote"":""Server is free. Shopify store subscription required."",""license"":""MIT"",""featur",https://github.com/neondatabase/mcp-server-neon,curated_registry,human_readable,absent,human_readable,human_readable,machine_actionable,human_readable,False,1,1,"pricing: ...e-desktop\"",\""claude-code\"",\""cursor\"",\""windsurf\""],\""pricing\"":\""open-source\"",\""pricingNote\"":\""Server is free. Shopify store subscription ... | quality_benchmark: ...n required.\"",\""license\"":\""MIT\"",\""featured\"":false,\""verified\"":false,\""dateAdded\"":\""2026-03-01\"",\""lastUpdated\"":\""2026-03-01\"",\""qualitySc... | payment: ...urce\"",\""pricingNote\"":\""Server is free. Shopify store subscription required.\"",\""license\"":\""MIT\"",\""featured\"":false,\""verified\"":false,\""dateAdd... | provenance: ...ude-code\"",\""cursor\"",\""windsurf\""],\""pricing\"":\""open-source\"",\""pricingNote\"":\""Server is free. Shopify store subscription required.\"",\""li... | security_trust: ...rver is free. Shopify store subscription required.\"",\""license\"":\""MIT\"",\""featured\"":false,\""verified\"":false,\""dateAdded\"":\""2026-03-01\"",\""..."
mcpcorpus,https://huggingface.co/datasets/Snak1nya/MCPCorpus/resolve/main/Website/mcpso_servers_cleaned.json,6969,agentcare-mcp-azalea,Agent Care MCP Server - Azalea Health Integration,Agent Care MCP Server configured for Azalea Health FHIR API integration,https://github.com/vlcosent/agentcare-mcp-azalea,developer-tools,absent,absent,structured_unverified,absent,machine_actionable,machine_actionable,False,3,2,"provenance: ...r configured for Azalea Health FHIR API integration"", ""github"": {""archived"": false, ""contributors_count"": 1, ""forks_count"": 1, ""full_name"": ""... | security_trust: ...d for Azalea Health FHIR API integration"", ""github"": {""archived"": false, ""contributors_count"": 1, ""forks_count"": 1, ""full_name"": ""vlcosent/agen..."
mcpcorpus,https://huggingface.co/datasets/Snak1nya/MCPCorpus/resolve/main/Website/mcpso_servers_cleaned.json,13302,liveblocks_liveblocks-mcp-server,Liveblocks_liveblocks Mcp Server,Mirror of,https://github.com/MCP-Mirror/liveblocks_liveblocks-mcp-server,developer-tools,absent,absent,structured_unverified,absent,machine_actionable,machine_actionable,False,3,2,"provenance: ...gory"": ""developer-tools"", ""description"": ""Mirror of"", ""github"": {""archived"": false, ""contributors_count"": 2, ""forks_count"": 0, ""full_name"": ""... | security_trust: ...eloper-tools"", ""description"": ""Mirror of"", ""github"": {""archived"": false, ""contributors_count"": 2, ""forks_count"": 0, ""full_name"": ""MCP-Mirror/li..."
official_mcp_registry,https://registry.modelcontextprotocol.io/v0/servers,ai.geodesiclabs/governance-platform,ai.geodesiclabs/governance-platform,,"Deterministic AI governance platform. Validates agent outputs, discovers patterns, solves math.",,,absent,absent,absent,absent,machine_actionable,absent,False,1,1,"provenance: ...le-http"", ""url"": ""https://app.geodesiclabs.ai/mcp""}], ""repository"": {}, ""version"": ""1.0.0""}}..."
glama,https://glama.ai/api/mcp/v1/servers,tm03cc147d,@prosodyai/mcp-docs,@prosodyai/mcp-docs,"Exposes ProsodyAI documentation, SDK references, REST API reference (OpenAPI), and curated implementation recipes to AI coding agents via MCP tools and resources.",https://github.com/ProsodyAI/mcp-docs,"author:official,hosting:hybrid",absent,absent,structured_unverified,absent,machine_actionable,machine_actionable,False,3,2,"quality_benchmark: ...ion, SDK references, REST API reference (OpenAPI), and curated implementation recipes to AI coding agents via MCP tools and resources."", ""envi... | provenance: ...{""attributes"": [""author:official"", ""hosting:hybrid""], ""description"": ""Exposes ProsodyAI documentation, ... | security_trust: ...cs""}, ""slug"": ""mcp-docs"", ""spdxLicense"": {""name"": ""MIT License"", ""url"": ""https://spdx.org/licenses/MIT.json""}, ""tools"": [], ""url"": ""https://gl..."
mcpcorpus,https://huggingface.co/datasets/Snak1nya/MCPCorpus/resolve/main/Website/mcpso_servers_cleaned.json,11995,slack-mcp-server-by-cdata,slack-mcp-server-by-cdata,This read-only MCP Server allows you to connect to Slack data from Claude Desktop through CData JDBC Drivers. Free (beta) read/write servers available at,https://github.com/CDataSoftware/slack-mcp-server-by-cdata,developer-tools,absent,absent,structured_unverified,absent,machine_actionable,machine_actionable,False,3,2,"provenance: ...rivers. Free (beta) read/write servers available at"", ""github"": {""archived"": false, ""contributors_count"": 1, ""forks_count"": 0, ""full_name"": ""... | security_trust: ..."", ""category"": ""developer-tools"", ""description"": ""This read-only MCP Server allows you to connect to Slack data from Claude Desktop through CDat..."
mcpcorpus,https://huggingface.co/datasets/Snak1nya/MCPCorpus/resolve/main/Website/mcpso_servers_cleaned.json,3570,mcp-server-developer-tool,Modular MCP Server,,https://github.com/da-snap/mcp-server-developer-tool,developer-tools,absent,absent,structured_unverified,absent,machine_actionable,machine_actionable,False,3,2,"provenance: ...p"", ""category"": ""developer-tools"", ""description"": """", ""github"": {""archived"": false, ""contributors_count"": 1, ""forks_count"": 1, ""full_name"": ""... | security_trust: ...ry"": ""developer-tools"", ""description"": """", ""github"": {""archived"": false, ""contributors_count"": 1, ""forks_count"": 1, ""full_name"": ""da-snap/mcp-s..."
mcpcorpus,https://huggingface.co/datasets/Snak1nya/MCPCorpus/resolve/main/Website/mcpso_servers_cleaned.json,2791,payai-mcp-server,PayAI MCP Server,"Model Context Protocol server for the PayAI network! Plug PayAI into Claude Desktop, Cursor, or your favorite MCP Host!",https://github.com/notorious-d-e-v/payai-mcp-server,developer-tools,absent,absent,structured_unverified,absent,machine_actionable,machine_actionable,False,3,2,"provenance: ... Claude Desktop, Cursor, or your favorite MCP Host!"", ""github"": {""archived"": false, ""contributors_count"": 3, ""forks_count"": 1, ""full_name"": ""... | security_trust: ...ktop, Cursor, or your favorite MCP Host!"", ""github"": {""archived"": false, ""contributors_count"": 3, ""forks_count"": 1, ""full_name"": ""notorious-d-e..."
mcpcorpus,https://huggingface.co/datasets/Snak1nya/MCPCorpus/resolve/main/Website/mcpso_servers_cleaned.json,5065,jacobgoren-sb_workato-mcp-server,Jacobgoren Sb_workato Mcp Server,Mirror of,https://github.com/MCP-Mirror/jacobgoren-sb_workato-mcp-server,developer-tools,absent,absent,structured_unverified,absent,machine_actionable,machine_actionable,False,3,2,"provenance: ...gory"": ""developer-tools"", ""description"": ""Mirror of"", ""github"": {""archived"": false, ""contributors_count"": 1, ""forks_count"": 2, ""full_name"": ""... | security_trust: ...eloper-tools"", ""description"": ""Mirror of"", ""github"": {""archived"": false, ""contributors_count"": 1, ""forks_count"": 2, ""full_name"": ""MCP-Mirror/ja..."
