service_id,source_url,cache_path,cache_hit,fetched_chars,returned_chars,status,error
exa/search-api@v1,https://exa.ai,C:\Users\Lenovo\Desktop\asm\asm-spec-private-\experiments\cache\raw_docs\exa.ai.txt,True,5553,4000,cache_hit,
tavily/search-api@v1,https://tavily.com,C:\Users\Lenovo\Desktop\asm\asm-spec-private-\experiments\cache\raw_docs\tavily.com.txt,True,2835,2835,cache_hit,
airtable/api@v1,https://airtable.com,C:\Users\Lenovo\Desktop\asm\asm-spec-private-\experiments\cache\raw_docs\airtable.com.txt,True,4679,4000,cache_hit,
google/sheets-api@v4,https://sheets.google.com,C:\Users\Lenovo\Desktop\asm\asm-spec-private-\experiments\cache\raw_docs\sheets.google.com.txt,True,11851,4000,cache_hit,
google/veo-3.1@3.1,https://cloud.google.com/vertex-ai,C:\Users\Lenovo\Desktop\asm\asm-spec-private-\experiments\cache\raw_docs\cloud.google.com_vertex-ai.txt,True,205460,4000,cache_hit,
kuaishou/kling-3.0@3.0,https://klingai.com,C:\Users\Lenovo\Desktop\asm\asm-spec-private-\experiments\cache\raw_docs\klingai.com.txt,True,24461,4000,cache_hit,
replicate/gpu-serverless@1.0,https://replicate.com,C:\Users\Lenovo\Desktop\asm\asm-spec-private-\experiments\cache\raw_docs\replicate.com.txt,True,12309,4000,cache_hit,
runpod/gpu-serverless@1.0,https://www.runpod.io,C:\Users\Lenovo\Desktop\asm\asm-spec-private-\experiments\cache\raw_docs\www.runpod.io.txt,True,9193,4000,cache_hit,
exa/search-api@v1,https://exa.ai,C:\Users\Lenovo\Desktop\asm\asm-spec-private-\experiments\cache\raw_docs\exa.ai.txt,True,5553,4000,cache_hit,
tavily/search-api@v1,https://tavily.com,C:\Users\Lenovo\Desktop\asm\asm-spec-private-\experiments\cache\raw_docs\tavily.com.txt,True,2835,2835,cache_hit,
resend/email-api@v1,https://resend.com,C:\Users\Lenovo\Desktop\asm\asm-spec-private-\experiments\cache\raw_docs\resend.com.txt,True,8393,4000,cache_hit,
twilio/sendgrid@v3,https://sendgrid.com,C:\Users\Lenovo\Desktop\asm\asm-spec-private-\experiments\cache\raw_docs\sendgrid.com.txt,True,10295,4000,cache_hit,
