task_id,request,taxonomy,selector,selected_service_id,selected_display_name,best_service_id,best_display_name,utility,best_utility,regret,alignment_score,constraint_violation,feasible_candidates,cost_per_unit,quality_score,latency_seconds,uptime,reasoning
1,I need a cheap but reliable TTS API for a 10-minute voiceover; latency should stay under one second.,ai.audio.tts,asm_topsis,openai/tts-1@1.0,OpenAI TTS,openai/tts-1@1.0,OpenAI TTS,0.9414,0.9414,0.0,1.0,False,2,1.5e-05,0.75,0.5,0.999,Selected by constraint filtering plus preference-weighted TOPSIS.
1,I need a cheap but reliable TTS API for a 10-minute voiceover; latency should stay under one second.,ai.audio.tts,weighted_average,openai/tts-1@1.0,OpenAI TTS,openai/tts-1@1.0,OpenAI TTS,0.9414,0.9414,0.0,1.0,False,2,1.5e-05,0.75,0.5,0.999,weighted_average matched the zero-regret ASM-TOPSIS choice for this request.
1,I need a cheap but reliable TTS API for a 10-minute voiceover; latency should stay under one second.,ai.audio.tts,cheapest_first,openai/tts-1@1.0,OpenAI TTS,openai/tts-1@1.0,OpenAI TTS,0.9414,0.9414,0.0,1.0,False,2,1.5e-05,0.75,0.5,0.999,cheapest_first matched the zero-regret ASM-TOPSIS choice for this request.
1,I need a cheap but reliable TTS API for a 10-minute voiceover; latency should stay under one second.,ai.audio.tts,fastest_first,elevenlabs/tts-v2@2.0,ElevenLabs TTS v2,openai/tts-1@1.0,OpenAI TTS,0.0586,0.9414,0.8828,0.0622,False,2,0.00018,0.875,0.4,0.999,fastest_first optimized a narrower rule and missed the preference-weighted best feasible service.
1,I need a cheap but reliable TTS API for a 10-minute voiceover; latency should stay under one second.,ai.audio.tts,highest_quality_first,elevenlabs/tts-v2@2.0,ElevenLabs TTS v2,openai/tts-1@1.0,OpenAI TTS,0.0586,0.9414,0.8828,0.0622,False,2,0.00018,0.875,0.4,0.999,highest_quality_first optimized a narrower rule and missed the preference-weighted best feasible service.
1,I need a cheap but reliable TTS API for a 10-minute voiceover; latency should stay under one second.,ai.audio.tts,highest_reliability_first,openai/tts-1@1.0,OpenAI TTS,openai/tts-1@1.0,OpenAI TTS,0.9414,0.9414,0.0,1.0,False,2,1.5e-05,0.75,0.5,0.999,highest_reliability_first matched the zero-regret ASM-TOPSIS choice for this request.
1,I need a cheap but reliable TTS API for a 10-minute voiceover; latency should stay under one second.,ai.audio.tts,random,elevenlabs/tts-v2@2.0,ElevenLabs TTS v2,openai/tts-1@1.0,OpenAI TTS,0.0586,0.9414,0.8828,0.0622,False,2,0.00018,0.875,0.4,0.999,random optimized a narrower rule and missed the preference-weighted best feasible service.
2,"I need premium voice quality for a polished product demo, and cost is secondary.",ai.audio.tts,asm_topsis,elevenlabs/tts-v2@2.0,ElevenLabs TTS v2,elevenlabs/tts-v2@2.0,ElevenLabs TTS v2,0.6587,0.6587,0.0,1.0,False,2,0.00018,0.875,0.4,0.999,Selected by constraint filtering plus preference-weighted TOPSIS.
2,"I need premium voice quality for a polished product demo, and cost is secondary.",ai.audio.tts,weighted_average,elevenlabs/tts-v2@2.0,ElevenLabs TTS v2,elevenlabs/tts-v2@2.0,ElevenLabs TTS v2,0.6587,0.6587,0.0,1.0,False,2,0.00018,0.875,0.4,0.999,weighted_average matched the zero-regret ASM-TOPSIS choice for this request.
2,"I need premium voice quality for a polished product demo, and cost is secondary.",ai.audio.tts,cheapest_first,openai/tts-1@1.0,OpenAI TTS,elevenlabs/tts-v2@2.0,ElevenLabs TTS v2,0.3413,0.6587,0.3174,0.5181,False,2,1.5e-05,0.75,0.5,0.999,cheapest_first optimized a narrower rule and missed the preference-weighted best feasible service.
2,"I need premium voice quality for a polished product demo, and cost is secondary.",ai.audio.tts,fastest_first,elevenlabs/tts-v2@2.0,ElevenLabs TTS v2,elevenlabs/tts-v2@2.0,ElevenLabs TTS v2,0.6587,0.6587,0.0,1.0,False,2,0.00018,0.875,0.4,0.999,fastest_first matched the zero-regret ASM-TOPSIS choice for this request.
2,"I need premium voice quality for a polished product demo, and cost is secondary.",ai.audio.tts,highest_quality_first,elevenlabs/tts-v2@2.0,ElevenLabs TTS v2,elevenlabs/tts-v2@2.0,ElevenLabs TTS v2,0.6587,0.6587,0.0,1.0,False,2,0.00018,0.875,0.4,0.999,highest_quality_first matched the zero-regret ASM-TOPSIS choice for this request.
2,"I need premium voice quality for a polished product demo, and cost is secondary.",ai.audio.tts,highest_reliability_first,openai/tts-1@1.0,OpenAI TTS,elevenlabs/tts-v2@2.0,ElevenLabs TTS v2,0.3413,0.6587,0.3174,0.5181,False,2,1.5e-05,0.75,0.5,0.999,highest_reliability_first optimized a narrower rule and missed the preference-weighted best feasible service.
2,"I need premium voice quality for a polished product demo, and cost is secondary.",ai.audio.tts,random,openai/tts-1@1.0,OpenAI TTS,elevenlabs/tts-v2@2.0,ElevenLabs TTS v2,0.3413,0.6587,0.3174,0.5181,False,2,1.5e-05,0.75,0.5,0.999,random optimized a narrower rule and missed the preference-weighted best feasible service.
3,"I need a low-cost general chat model, but it still needs strong quality and reasonable latency.",ai.llm.chat,asm_topsis,openai/gpt-4o@2024-11-20,GPT-4o,openai/gpt-4o@2024-11-20,GPT-4o,0.9083,0.9083,0.0,1.0,False,3,7.75e-06,0.8083333333333333,0.6,0.999,Selected by constraint filtering plus preference-weighted TOPSIS.
3,"I need a low-cost general chat model, but it still needs strong quality and reasonable latency.",ai.llm.chat,weighted_average,google/gemini-2.5-pro@2.5,Gemini 2.5 Pro,openai/gpt-4o@2024-11-20,GPT-4o,0.7394,0.9083,0.1689,0.814,False,3,7.375e-06,0.8333333333333334,1.5,0.999,weighted_average optimized a narrower rule and missed the preference-weighted best feasible service.
3,"I need a low-cost general chat model, but it still needs strong quality and reasonable latency.",ai.llm.chat,cheapest_first,google/gemini-2.5-pro@2.5,Gemini 2.5 Pro,openai/gpt-4o@2024-11-20,GPT-4o,0.7394,0.9083,0.1689,0.814,False,3,7.375e-06,0.8333333333333334,1.5,0.999,cheapest_first optimized a narrower rule and missed the preference-weighted best feasible service.
